--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   c035
  Local device: mlx5_0
--------------------------------------------------------------------------
  Quadrature no.    Integration Result         Percent error (%)           Run time (s)
----------------  --------------------  ------------------------  ---------------------
               1    0.0                 100.0                     0.0032191630452871323
               2    0.7043259094830925    4.272183946960972       0.0010741883888840675
               3    0.7353621441608531    0.05392230954361388     0.003409232012927532
               4    0.735756506760854     0.0003228750732957809   0.0020291469991207123
               5    0.7357588740610974    1.1256115902549103e-06  0.0032201120629906654
               6    0.7357588823240081    2.5655914497532637e-09  0.00318254716694355
               7    0.7357588823428544    4.119432235157424e-12   0.0034302612766623497
               8    0.7357588823428858    1.508949536687701e-13   0.0040913838893175125
               9    0.7357588823428856    1.2071596293501608e-13  0.0033010030165314674
              10    0.7357588823428838    1.2071596293501608e-13  0.003144911490380764
              11    0.7357588823428844    3.017899073375402e-14   0.004038316197693348
              12    0.7357588823428843    4.526848610063103e-14   0.001838337630033493
              13    0.7357588823428842    6.035798146750804e-14   0.003048905171453953
              14    0.7357588823428853    9.053697220126206e-14   0.002381855621933937
              15    0.7357588823428833    1.8107394440252412e-13  0.003063039854168892
              16    0.7357588823428847    0.0                     0.004370184615254402
              17    0.7357588823428844    3.017899073375402e-14   0.004087579436600208
              18    0.7357588823428844    3.017899073375402e-14   0.005366639234125614
              19    0.7357588823428849    3.017899073375402e-14   0.005122393369674683
              20    0.7357588823428851    6.035798146750804e-14   0.00376953836530447
[c035:16707] 20 more processes have sent help message help-mpi-btl-openib.txt / error in device init
[c035:16707] Set MCA parameter "orte_base_help_aggregate" to 0 to see all help / error messages
