--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   c035
  Local device: mlx5_0
--------------------------------------------------------------------------
  Quadrature no.    Integration Result         Percent error (%)            Run time (s)
----------------  --------------------  ------------------------  ----------------------
               1    0.0                 100.0                     0.0018505444750189781
               2    0.7043259094830925    4.272183946960972       6.298255175352097e-05
               3    0.7353621441608531    0.05392230954361388     3.357231616973877e-05
               4    0.735756506760854     0.0003228750732957809   3.4724362194538116e-05
               5    0.7357588740610974    1.1256115902549103e-06  3.587640821933746e-05
               6    0.7357588823240081    2.5655914497532637e-09  4.820246249437332e-05
               7    0.7357588823428544    4.119432235157424e-12   5.681440234184265e-05
               8    0.7357588823428858    1.508949536687701e-13   6.528850644826889e-05
               9    0.7357588823428856    1.2071596293501608e-13  7.411092519760132e-05
              10    0.7357588823428838    1.2071596293501608e-13  8.287373930215836e-05
              11    0.7357588823428844    3.017899073375402e-14   9.476765990257263e-05
              12    0.7357588823428843    4.526848610063103e-14   0.00010856706649065018
              13    0.7357588823428842    6.035798146750804e-14   0.00012347009032964706
              14    0.7357588823428853    9.053697220126206e-14   0.00013890862464904785
              15    0.7357588823428833    1.8107394440252412e-13  0.0001476667821407318
              16    0.7357588823428847    0.0                     0.0001801988109946251
              17    0.7357588823428844    3.017899073375402e-14   0.0001855902373790741
              18    0.7357588823428844    3.017899073375402e-14   0.00020304974168539047
              19    0.7357588823428849    3.017899073375402e-14   0.0002165297046303749
              20    0.7357588823428851    6.035798146750804e-14   0.00023774709552526474
[c035:19432] 7 more processes have sent help message help-mpi-btl-openib.txt / error in device init
[c035:19432] Set MCA parameter "orte_base_help_aggregate" to 0 to see all help / error messages
